,Unnamed: 0,Category,Service Term,Prompt,Claude
10,11,Safety,autonomous vehicle,"Considering crash avoidance, system redundancy, and public safety reports, which are the safest autonomous vehicle companies today? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Zoox', 3: 'Motional', 4: 'Aurora', 5: 'Mobileye'}"
11,12,Safety,driverless car,"Considering crash avoidance, system redundancy, and public safety reports, which are the safest driverless car companies today? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Zoox', 3: 'Motional', 4: 'Aurora', 5: 'Mobileye'}"
12,13,Technology,robotaxi,"Which robotaxi companies have the most advanced self-driving technology? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Cruise', 3: 'Zoox', 4: 'Baidu Apollo', 5: 'Motional'}"
13,14,Technology,self-driving car,"Which self-driving car companies have the most advanced self-driving technology? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Tesla', 3: 'Cruise', 4: 'Baidu Apollo', 5: 'Mercedes-Benz Drive Pilot'}"
14,15,Technology,autonomous vehicle,"Which autonomous vehicle companies have the most advanced self-driving technology? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Tesla', 3: 'Cruise', 4: 'Mobileye', 5: 'Baidu Apollo'}"
15,16,Technology,driverless car,"Which driverless car companies have the most advanced self-driving technology? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Tesla', 3: 'Cruise', 4: 'Mobileye', 5: 'Zoox'}"
16,17,Technology,robotaxi,"Based on the quality and innovation of their autonomous driving systems, which are the most technologically advanced robotaxi companies? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Cruise', 3: 'Zoox', 4: 'Baidu Apollo', 5: 'Motional'}"
17,18,Technology,self-driving car,"Based on the quality and innovation of their autonomous driving systems, which are the most technologically advanced self-driving car companies? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Tesla', 3: 'Cruise', 4: 'Mobileye', 5: 'Mercedes-Benz Drive Pilot'}"
18,19,Technology,autonomous vehicle,"Based on the quality and innovation of their autonomous driving systems, which are the most technologically advanced autonomous vehicle companies? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Tesla', 3: 'Cruise', 4: 'Mobileye', 5: 'Baidu Apollo'}"
19,20,Technology,driverless car,"Based on the quality and innovation of their autonomous driving systems, which are the most technologically advanced driverless car companies? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Tesla', 3: 'Cruise', 4: 'Mobileye', 5: 'Zoox'}"
20,21,Availability,robotaxi,"Which robotaxi companies have the widest operational availability in terms of cities and regions? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Baidu Apollo', 3: 'Cruise', 4: 'DiDi', 5: 'Uber/Motional'}"
21,22,Availability,self-driving car,"Which self-driving car companies have the widest operational availability in terms of cities and regions? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Tesla', 2: 'Waymo', 3: 'Baidu Apollo', 4: 'Mercedes-Benz', 5: 'BMW'}"
22,23,Availability,autonomous vehicle,"Which autonomous vehicle companies have the widest operational availability in terms of cities and regions? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Tesla', 2: 'Waymo', 3: 'Baidu Apollo', 4: 'Mercedes-Benz', 5: 'GM Super Cruise'}"
23,24,Availability,driverless car,"Which robotaxi companies have the widest operational availability in terms of cities and regions? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Baidu Apollo', 3: 'Cruise', 4: 'DiDi', 5: 'Uber/Motional'}"
24,25,Availability,robotaxi,"Considering geographic coverage and fleet size, which robotaxi companies are most available to the public? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Baidu Apollo', 3: 'DiDi', 4: 'Cruise', 5: 'Uber/Motional'}"
25,26,Availability,self-driving car,"Considering geographic coverage and fleet size, which self-driving car companies are most available to the public? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Tesla', 2: 'Waymo', 3: 'Mercedes-Benz', 4: 'General Motors', 5: 'BMW'}"
26,27,Availability,autonomous vehicle,"Considering geographic coverage and fleet size, which autonomous vehicle companies are most available to the public? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Tesla', 2: 'Waymo', 3: 'General Motors', 4: 'Mercedes-Benz', 5: 'Baidu Apollo'}"
27,28,Availability,driverless car,"Considering geographic coverage and fleet size, which driverless car companies are most available to the public? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Tesla', 2: 'Waymo', 3: 'Mercedes-Benz', 4: 'General Motors', 5: 'Baidu Apollo'}"
28,29,Service,robotaxi,"Which robotaxi companies offer the best overall customer service experience? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Cruise', 3: 'Zoox', 4: 'Pony.ai', 5: 'DiDi Autonomous'}"
29,30,Service,self-driving car,"Which self-driving car companies offer the best overall customer service experience? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Tesla', 3: 'Cruise', 4: 'Zoox', 5: 'Pony.ai'}"
30,31,Service,autonomous vehicle,"Which autonomous vehicle companies offer the best overall customer service experience? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Tesla', 3: 'Cruise', 4: 'Zoox', 5: 'Mercedes-Benz Drive Pilot'}"
31,32,Service,driverless car,"Which driverless car companies offer the best overall customer service experience? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Cruise', 3: 'Zoox', 4: 'Tesla', 5: 'Pony.ai'}"
32,33,Service,robotaxi,"Based on what users say about the experience, which are the most customer satisfactory robotaxi companies? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Cruise', 3: 'Zoox', 4: 'Motional', 5: 'DiDi Autonomous'}"
33,34,Service,self-driving car,"Based on what users say about the experience, which are the most customer satisfactory self-driving car companies? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Tesla', 2: 'Waymo', 3: 'Mercedes-Benz', 4: 'Cruise', 5: 'BMW'}"
34,35,Service,autonomous vehicle,"Based on what users say about the experience, which are the most customer satisfactory autonomous vehicle companies? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Tesla', 3: 'Mercedes-Benz', 4: 'Cruise', 5: 'Volvo'}"
35,36,Service,driverless car,"Based on what users say about the experience, which are the most customer satisfactory driverless car companies? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Waymo', 2: 'Cruise', 3: 'Tesla', 4: 'Zoox', 5: 'Motional'}"
36,37,Pricing,robotaxi,"Which robotaxi companies offer the most competitive pricing for customers? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Zoox', 2: 'DiDi Autonomous', 3: 'Waymo', 4: 'Motional', 5: 'Cruise'}"
37,38,Pricing,self-driving car,"Which self-driving car companies offer the most competitive pricing for customers? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Tesla', 2: 'BYD', 3: 'Chery', 4: 'Xpeng', 5: 'Nio'}"
38,39,Pricing,autonomous vehicle,"Which autonomous vehicle companies offer the most competitive pricing for customers? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'Tesla', 2: 'BYD', 3: 'Xpeng', 4: 'Nio', 5: 'DiDi Autonomous'}"
39,40,Pricing,driverless car,"Which driverless car companies offer the most competitive pricing for customers? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'DiDi Autonomous', 2: 'Zoox', 3: 'Waymo', 4: 'AutoX', 5: 'Motional'}"
40,41,Pricing,robotaxi,"Based on affordability and value for money, which are the most budget-friendly robotaxi companies for everyday users? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'DiDi Autonomous', 2: 'Waymo', 3: 'Zoox', 4: 'AutoX', 5: 'Motional'}"
41,42,Pricing,self-driving car,"Based on affordability and value for money, which are the most budget-friendly self-driving car companies for everyday users? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'BYD', 2: 'Tesla', 3: 'Xpeng', 4: 'Chery', 5: 'Nio'}"
42,43,Pricing,autonomous vehicle,"Based on affordability and value for money, which are the most budget-friendly autonomous vehicle companies for everyday users? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'BYD', 2: 'Tesla', 3: 'Xpeng', 4: 'Geely', 5: 'Chery'}"
43,44,Pricing,driverless car,"Based on affordability and value for money, which are the most budget-friendly driverless car companies for everyday users? Return the result strictly in the following format using text (not JSON): {1: 'Best Company Name', 2: 'Second Best Company Name', 3: 'Third Best Company Name', 4: 'Fourth Best Company Name', 5: 'Fifth Best Company Name'}. Do not include any explanation or commentary.","{1: 'DiDi Autonomous', 2: 'AutoX', 3: 'Waymo', 4: 'Zoox', 5: 'Motional'}"
